ID,DOI,Title,Year,Authors,Venue,Abstract,Citations,Concepts,Relevance_Score,AL_Decision,LLM_Decision,LLM_Justification
10.31219/osf.io/bgtvf,10.31219/osf.io/bgtvf,The assessment of urban heat island effect and mitigation countermeasures,2020.0,Chou Yu-Ching,,"<p>Owing to the urban heat island effect, the urban design and planning have been encountered the severe plights. Based on our observational research show that each year in Taiwan during the summer season, the urban and rural area temperature difference of up to 3-8 ℃; our numerical simulation results show the environmental thermal forcing effect is quite significant during the occurrence period of the urban heat island effect. And environmental wind field was forced to change (from the original northwest wind to southwest wind), a rapid increase in the moisture field (the relative humidity up to 90％), convergence was forced in the low level, upward motion derivative is excited, and result show the unexpected afternoon thunderstorms phenomenon occurred on the urban region.On the vicinity of the architecture building or the urban construction region, planting the large arbor that the carbon sequestration force was strong (about 900 kg / m2 / yr), by thinking about to adjust planting location, direction, height, area, density, and design, to guide the suitable environmental wind field, it will effectively mitigate the urban heat island effect.</p>",,,0.333,Include,Include,Matches 4 inclusion term(s).
10.1016/b978-0-12-812843-5.00019-8,10.1016/b978-0-12-812843-5.00019-8,WSUD and Urban Heat Island Effect Mitigation,2019.0,Jamei Elmira; Tapper Nigel,Approaches to Water Sensitive Urban Design,,,,0.25,Include,Include,Matches 3 inclusion term(s).
10.4324/9781315765839-13,10.4324/9781315765839-13,The effect of evaporative cooling techniques on reducing urban heat SER VA NDOA LVA REZDOMÍNGUEZANDFRANCISCOJOSÉ,2016.0,,Urban Climate Mitigation Techniques,,,,0.25,Include,Include,Matches 3 inclusion term(s).
10.1016/b978-0-323-85539-6.00015-9,10.1016/b978-0-323-85539-6.00015-9,Use of landscape metrics for the mitigation of the surface urban heat island effect in Mediterranean cities,2022.0,Polydoros A.; Cartalis C.; Santamouris M.; Kolokotsa D.,Global Urban Heat Island Mitigation,,,,0.25,Include,Include,Matches 3 inclusion term(s).
10.1016/b978-0-323-85539-6.00017-2,10.1016/b978-0-323-85539-6.00017-2,Urban heat island mitigation and adaptation in China,2022.0,Liu Huimin; Huang Bo; Zhan Qingming; Gao Sihang; Fan Zhiyu,Global Urban Heat Island Mitigation,,,,0.25,Include,Include,Matches 3 inclusion term(s).
10.4324/9781315765839-17,10.4324/9781315765839-17,Urban heat island mitigation technologies: Case studies,2016.0,,Urban Climate Mitigation Techniques,,,,0.25,Include,Include,Matches 3 inclusion term(s).
10.3390/books978-3-0365-0723-1,10.3390/books978-3-0365-0723-1,Urban Heat Island Mitigation Technologies,2021.0,,,,,,0.25,Include,Include,Matches 3 inclusion term(s).
10.1016/c2020-0-02681-2,10.1016/c2020-0-02681-2,Global Urban Heat Island Mitigation,2022.0,,,,,,0.25,Include,Include,Matches 3 inclusion term(s).
10.32657/10356/153374,10.32657/10356/153374,Cool surface as urban heat island effect mitigation strategy for tropical climate,,; D E V S Kiran Kumar,,,,,0.25,Include,Include,Matches 3 inclusion term(s).
10.1016/b978-0-323-85539-6.00007-x,10.1016/b978-0-323-85539-6.00007-x,Urban heat island effect in India,2022.0,Mohan Manju; Bhati Shweta; Sati Ankur Prabhat,Global Urban Heat Island Mitigation,,,,0.167,Include,Include,Matches 2 inclusion term(s).
10.1016/b978-0-323-85539-6.00009-3,10.1016/b978-0-323-85539-6.00009-3,Urban heat island,2022.0,Sultana Sabiha; Satyanarayana A.N.V.,Global Urban Heat Island Mitigation,,,,0.167,Exclude,Exclude,Abstract too short or missing.
10.1016/b978-0-323-85539-6.00010-x,10.1016/b978-0-323-85539-6.00010-x,Investigating the intra-urban urban heat island effect for two subtropical mega-urban regions in China by adopting local climate zone,2022.0,Cai Meng; Wang Ran; Ren Chao; Ng Edward,Global Urban Heat Island Mitigation,,,,0.167,Include,Include,Matches 2 inclusion term(s).
10.1016/b978-0-323-85539-6.00014-7,10.1016/b978-0-323-85539-6.00014-7,Urban heat island in Latin American cities,2022.0,Palme Massimo; Carrasco Claudio,Global Urban Heat Island Mitigation,,,,0.167,Include,Include,Matches 2 inclusion term(s).
10.1016/b978-0-12-803476-7.00007-6,10.1016/b978-0-12-803476-7.00007-6,Evaporation Rate and Evaporative Cooling Effect of Pavement Materials,2016.0,Li Hui,Pavement Materials for Heat Island Mitigation,,,,0.083,Include,Include,Matches 1 inclusion term(s).
